,0
2775.0,"(0.85182622068435221, 0.18000768935024991, 0.14886582083813915)"
2800.0,"(0.85056516724336795, 0.17730103806228376, 0.14966551326412919)"
2825.0,"(0.84867358708189156, 0.17324106113033449, 0.15086505190311417)"
2850.0,"(0.84678200692041528, 0.16918108419838529, 0.1520645905420992)"
2875.0,"(0.84552095347943101, 0.16647443291041908, 0.15286428296808918)"
2900.0,"(0.84362937331795462, 0.16241445597846982, 0.15406382160707421)"
2925.0,"(0.84236831987697047, 0.15970780469050366, 0.1548635140330642)"
2950.0,"(0.84047673971549408, 0.1556478277585544, 0.15606305267204923)"
2975.0,"(0.83921568627450982, 0.15294117647058825, 0.15686274509803921)"
3000.0,"(0.83986719446651814, 0.23536490535934651, 0.38078682913112255)"
3025.0,"(0.83786424529041403, 0.23599794361843507, 0.3870282618128803)"
3050.0,"(0.83586129611431004, 0.23663098187752363, 0.393269694494638)"
3075.0,"(0.83335760964417993, 0.23742227970138433, 0.40107148534683518)"
3100.0,"(0.83135466046807593, 0.23805531796047288, 0.40731291802859293)"
3125.0,"(0.82935171129197183, 0.23868835621956144, 0.41355435071035063)"
3150.0,"(0.82684802482184172, 0.23947965404342214, 0.4213561415625478)"
3175.0,"(0.82484507564573772, 0.2401126923025107, 0.42759757424430556)"
3200.0,"(0.82284212646963362, 0.24074573056159926, 0.43383900692606325)"
3225.0,"(0.82033843999950362, 0.24153702838545996, 0.44164079777826043)"
3250.0,"(0.81833549082339951, 0.24217006664454852, 0.44788223046001818)"
3275.0,"(0.81633254164729552, 0.24280310490363707, 0.45412366314177594)"
3300.0,"(0.81382885517716541, 0.24359440272749777, 0.46192545399397306)"
3325.0,"(0.8118259060010613, 0.24422744098658633, 0.46816688667573081)"
3350.0,"(0.80982295682495731, 0.24486047924567489, 0.47440831935748851)"
3375.0,"(0.8073192703548272, 0.24565177706953559, 0.48221011020968568)"
3400.0,"(0.8053163211787232, 0.24628481532862415, 0.48845154289144344)"
3425.0,"(0.8033133720026191, 0.2469178535877127, 0.49469297557320113)"
3450.0,"(0.80080968553248899, 0.2477091514115734, 0.50249476642539836)"
3475.0,"(0.79880673635638499, 0.24834218967066196, 0.50873619910715606)"
3500.0,"(0.79680378718028089, 0.24897522792975052, 0.51497763178891387)"
3525.0,"(0.79430010071015089, 0.24976652575361122, 0.52277942264111099)"
3550.0,"(0.79229715153404678, 0.25039956401269975, 0.52902085532286869)"
3575.0,"(0.79029420235794268, 0.25103260227178831, 0.5352622880046265)"
3600.0,"(0.78779051588781268, 0.25182390009564903, 0.54306407885682362)"
3625.0,"(0.78578756671170857, 0.25245693835473759, 0.54930551153858131)"
3650.0,"(0.78378461753560458, 0.25308997661382615, 0.55554694422033912)"
3675.0,"(0.78128093106547447, 0.25388127443768682, 0.56334873507253624)"
3700.0,"(0.77927798188937036, 0.25451431269677538, 0.56959016775429394)"
3725.0,"(0.77727503271326637, 0.25514735095586394, 0.57583160043605175)"
3750.0,"(0.77477134624313626, 0.25593864877972466, 0.58363339128824887)"
3775.0,"(0.77276839706703226, 0.25657168703881322, 0.58987482397000657)"
3800.0,"(0.77076544789092816, 0.25720472529790178, 0.59611625665176438)"
3825.0,"(0.76826176142079805, 0.25799602312176245, 0.6039180475039615)"
3850.0,"(0.76625881224469405, 0.25862906138085101, 0.61015948018571919)"
3875.0,"(0.76425586306858995, 0.25926209963993957, 0.616400912867477)"
3900.0,"(0.76175217659845984, 0.2600533974638003, 0.62420270371967412)"
3925.0,"(0.75974922742235584, 0.26068643572288885, 0.63044413640143182)"
3950.0,"(0.75774627824625185, 0.26131947398197741, 0.63668556908318963)"
3975.0,"(0.75524259177612174, 0.26211077180583808, 0.64448735993538675)"
4000.0,"(0.75323964260001763, 0.26274381006492664, 0.65072879261714456)"
4025.0,"(0.75123669342391364, 0.2633768483240152, 0.65697022529890226)"
4050.0,"(0.74873300695378353, 0.26416814614787593, 0.66477201615109938)"
4075.0,"(0.74673005777767942, 0.26480118440696448, 0.67101344883285718)"
4100.0,"(0.74472710860157543, 0.26543422266605304, 0.67725488151461488)"
4125.0,"(0.74222342213144532, 0.26622552048991371, 0.685056672366812)"
4150.0,"(0.74022047295534132, 0.26685855874900227, 0.69129810504856981)"
4175.0,"(0.73821752377923722, 0.26749159700809083, 0.69753953773032751)"
4200.0,"(0.73571383730910722, 0.26828289483195156, 0.70534132858252463)"
4225.0,"(0.73371088813300311, 0.26891593309104012, 0.71158276126428244)"
4250.0,"(0.73170793895689901, 0.26954897135012867, 0.71782419394604013)"
4275.0,"(0.72920425248676901, 0.27034026917398934, 0.72562598479823737)"
4300.0,"(0.7272013033106649, 0.2709733074330779, 0.73186741747999506)"
4325.0,"(0.7251983541345608, 0.27160634569216646, 0.73810885016175276)"
4350.0,"(0.7226946676644308, 0.27239764351602713, 0.74591064101394988)"
4375.0,"(0.72069171848832669, 0.27303068177511569, 0.75215207369570769)"
4400.0,"(0.7186887693122227, 0.27366372003420425, 0.75839350637746539)"
4425.0,"(0.71618508284209259, 0.27445501785806498, 0.76619529722966262)"
4450.0,"(0.71418213366598859, 0.27508805611715353, 0.77243672991142032)"
4475.0,"(0.71217918448988449, 0.27572109437624209, 0.77867816259317801)"
